"","Date","Header"
"62",2017-01-30,"The number of iPhones that Apple Inc. has sold in the three months after Christmas has proportionally fallen since
2011. The decline could be a result of greater frontloading: more people are choosing to buy the smartphone in
the three months after it goes on sale in September, rather than waiting; or it could reflect waning consumer
enthusiasm for the device. Investors will get a better sense of whether that trend is continuing when the company
reports fiscal first-quarter results on Tuesday."
"63",2017-01-30,"Silicon Valley Finds its Voice as Immigration Ban Fuels Outrage"
"64",2017-02-01,"Apple Attracts New IPhone Fans as Existing Owners Await Upgrade"
"65",2017-02-01,"Apple Sales Beat Estimates on Demand for Latest IPhones (1)"
"66",2017-02-02,"Apple Developing New Mac Chip in Test of Intel Independence"
"67",2017-02-02,"Apple Plans First Bond Sale in Six Months to Add to War Chest"
"68",2017-02-02,"Apple Plans First Bond Sale Since July to Add to War Chest (1)"
"69",2017-02-02,"Apple Said to Work on Mac Chip That Would Lessen Intel Role (1)"
"70",2017-02-02,"Apple to Expand Iconic NYC ‘Cube’ Store in Lift for Fifth Avenue"
"71",2017-02-02,"Apple Woos New IPhone Fans as Current Owners Await Upgrade (2)"
"72",2017-02-02,"Facebook, Microsoft Said to Circulate Immigration Open Letter"
"73",2017-02-03,"Apple, Microsoft Borrow Now Instead of Waiting for Tax Shift (1)"
"74",2017-02-03,"Apple Set to Begin Making iPhones in India by April’s End (1)"
"75",2017-02-06,"Apple Is Getting Pushed Around in China by Local Phone Brands"
"76",2017-02-06,"Apple Said to Revive Efforts to Sell Used iPhones in India (1)"
"77",2017-02-06,"Apple to Zynga File Legal Brief Against Trump Immigration Order"
"78",2017-02-06,"Apple’s Next IPhone Is Best Bet for Taiwan Top Fund Manager (1)"
"79",2017-02-14,"Apple Shares Hit Record Close on Optimism for Next IPhone (2)"
"80",2017-02-15,"Apple Said to Mull China Supplier for Next-Gen iPhone Screen (1)"
"81",2017-02-15,"Apple Said to Weigh Chinese Supplier for Next-Gen iPhone Screens"
"82",2017-02-15,"Apple Said to Weigh Chinese Supplier for Next-Gen iPhone Screens"
"83",2017-02-15,"Apple Struggles to Make Big Deals, Hampering Strategy Shifts"
"84",2017-02-15,"Berkshire Builds Airline, Apple Bets; Adds Monsanto Holding (2)"
"85",2017-02-15,"Berkshire Builds Airline, Apple Stakes; Adds Holding in Monsanto"
"86",2017-02-15,"Buffett Didn't Get a Bargain on His Latest Apple Shares: Gadfly
The iPhone maker's valuation is creeping up on its five-year peak."
"87",2017-02-16,"Apple Vowed To Revolutionize TV. An Inside Look at Why It Hasn't (1)
The company is testing a new Apple TV capable of streaming ultra-high-definition 4K. It may not be enough to
take on Amazon and Roku."
"88",2017-02-20,"Apple's Upcoming iPhone Helps Foxconn's Gravity-Defying Act (1)"
"89",2017-02-22,"Apple to Open Steve Jobs-Inspired Ring-Shaped Campus in April"
"90",2017-02-22,"Apple Trades May Bolster Insider Charges Against Gambler (1)"
"91",2017-02-22,"Apple Trades May Bolster Insider-Trading Charges Against Walters"
"92",2017-02-23,"Apple 13% Rally Threatens to End Brief Stock Picker Renaissance"
"93",2017-02-23,"Apple Rally Threatens to End Brief Stock Picker Renaissance (1)"
"94",2017-02-24,"Apple, Lyft Speak Out Against Trump's Transgender Ruling
Companies from Apple to Lyft have issued statements following the administration's announcement on
Wednesday."
"95",2017-02-25,"Berkshire's Apple Gain Is $1.6 Billion; Purchase Price Disclosed"
"96",2017-02-25,"Berkshire's Apple Gain Reaches $1.6 Billion; Cost Disclosed (1)"
"97",2017-02-27,"Berkshire Built Apple Stake to 133 Million Shares, Buffett Says"
"98",2017-02-27,"Buffett Says Apple Stake Boosted to More Than $18 Billion (1)"
"99",2017-02-27,"Buffett's Apple, Airline Wagers Highlight Emergence of Deputies"
"100",2017-03-01,"Apple Wins Reversal of $533 Million Smartflash Patent Verdict"
"101",2017-03-03,"Apple's U.K. Patent Suit Against Qualcomm Adds to Global Battle"
"102",2017-03-03,"Apple's U.K. Suit Against Qualcomm Adds to Global Patent War (1)"
"103",2017-03-07,"Songwriters Sing Blues Over Diminished Streaming Royalties (1)"
"104",2017-03-07,"Songwriters Sing Blues Over Lower Streaming Royalties (Correct)"
"105",2017-03-09,"Apple-Supplier Dialog Will Develop Chips With China's Tsinghua"
"106",2017-03-09,"Trump and Steve Jobs's Widow Discuss Immigration at White House"
"107",2017-03-14,"Samsung Electronics Co. invested the least on research and development in any quarter since mid-2015, but its
$3.15 billion outlay in October-December was still about 9 percent more than Apple Inc.’s. The maker of Galaxy
smartphones, memory chips and consumer electronics has outspent its iPhone and iPad rival on R&D every quarter
dating back to mid-2010, a period during which the South Korean company obtained the second-most U.S.
patents after only International Business Machines Corp. Apple spent a record high $2.87 billion on R&D in its
most-recent quarter, while the last time Samsung’s expenditures were that low was four years ago."
"108",2017-03-15,"Who's Outperforming Apple? Its Semiconductor Suppliers"
"109",2017-03-16,"IHeart's Other Challenge Is Fending Off Growing Online Rivals"
"110",2017-03-16,"Samsung's New S8 Said to Adopt Facial Recognition for Payments"
"111",2017-03-16,"Swatch Takes on Google, Apple With Watch Operating System (1)"
"112",2017-03-18,"Apple Plans to Expand in China as iPhone Sales Slow (Video)"
"113",2017-03-18,"Tim Cook Says Apple Not Aiming for Specific China Market Share"
"114",2017-03-20,"Apple’s Next Big Thing: Augmented Reality
CEO Tim Cook is betting on augmented reality, a cousin of VR that he believes will keep his company on top
and may even supplant the iPhone."
"115",2017-03-20,"Samsung's S8 Gets Its Own AI Assistant to Vie With Apple's Siri"
"116",2017-03-20,"Secretive Billionaire Reveals How He Toppled Apple in China"
"117",2017-03-21,"Apple Unveils Cheapest IPad Yet, Red IPhone (Correct)"
"118",2017-03-21,"Apple Woos Developers By Making Concessions in App Store Revamp (1)
By ceding some control to the app-making community, the company aims to boost services revenues and keep
people in its ecosystem"
"119",2017-03-21,"Apple's Bullish Hopes for iPad Run Into Harsh Reality: Gadfly
The business is in permanent decline. Somebody tell Tim Cook."
"120",2017-03-21,"SoftBank Scraps $100 Million Investment in IPhone Rival: WSJ"
"121",2017-03-22,"Amazon's Alexa Takes Fight With Siri to Marriott Hotel Rooms (1)"
"122",2017-03-22,"Amazon's Alexa Takes Its Fight With Siri to Marriott Hotel Rooms"
"123",2017-03-22,"Apple Pay Gets Crushed in World's Biggest Mobile-Payments Market"
"124",2017-03-24,"Tool Said to Be Latest Musical Act to Make Peace With Streaming"
"125",2017-03-28,"Didi Said to Be Weighing $6 Billion SoftBank-Backed Funding (1)"
"126",2017-03-28,"Facebook Hires Apple Veteran Hillman to Run Oculus VR Hardware"
"127",2017-03-30,"Apple, Wal-Mart Stick With Climate Pledges Despite Trump's Pivot"
"128",2017-03-30,"IPhone Is Legit Again After Years on Argentina's Gray Market"
"129",2017-03-31,"Apple Scores Victory Over Australian Banks in Apple Pay Spat (1)"
"130",2017-03-31,"The latest results from Industrial & Commercial Bank of China Ltd showed the lender was unable to catch Apple
Inc. as the world’s most-profitable company. ICBC on Thursday said net income was 278 billion yuan ($41.9
billion), little changed from a year earlier, about $4 billion shy of Apple’s most-recent fiscal year. While earnings
for ICBC and Apple have been relatively consistent the past five years, variances by previous champions U.S.
mortgage lender Fannie Mae and Exxon Mobil Corp. reflect fickleness of their industries."
"131",2017-03-31,"Don't Be So Sure About an Apple iPhone 'Super Cycle': Gadfly
Buying patterns and pricing have changed considerably."
"132",2017-03-31,"Hon Hai Posts Surprise Profit Rise After Record iPhone Sales (1)"
"133",2017-03-31,"Hon Hai Profit Beats Estimates As iPhone Sales Set a Record"
"134",2017-03-31,"Spotify, Apple Boost Music Business to Best Year in Two Decades"
"135",2017-04-03,"Apple Supplier Learns Downside of Living at Juggernaut's Mercy"
"136",2017-04-03,"Apple Turns Into a Black Hole for One Unwary Supplier: Gadfly
Imagination Technologies is regretting its reliance on one huge customer."
"137",2017-04-03,"Imagination Tech Shares Plunge 69% After Apple Ends Chip Deal"
"138",2017-04-04,"Apple's Double-Edged Supplier Sword Needs Blunting: Gadfly
The world's two biggest smartphone makers duke it out, only for one to have to sign another a big fat check for
a product it can't get elsewhere."
"139",2017-04-05,"Apple Supplier Hon Hai Surges After Surprise Earnings Rise (2)"
"140",2017-04-05,"Forget Apple. Xiaomi CEO Now Wants to Be More Like Costco"
"141",2017-04-06,"Amazon Takes Voice Battle With Apple TV Outside U.S."
"142",2017-04-11,"Dialog Semiconductor Shares Tumble After Analyst's Apple Warning"
"143",2017-04-11,"Dialog Semiconductor Tumbles After Analyst's Apple Warning (1)"
"144",2017-04-11,"'Don't Depend on Apple' Is the Tech Mantra of the Month: Gadfly
Dialog's pounding underlines the danger of relying on a big customer."
"145",2017-04-12,"Apple-Qualcomm Billions Put at Risk as Phone Alliance Frays (1)"
"146",2017-04-12,"Apple-Qualcomm Fight Threatens Lucrative Smartphone Alliance"
"147",2017-04-13,"TSMC's Outlook Disappoints as Smartphone Doldrums Persist (1)"
"148",2017-04-14,"Apple May Invest Billions of Dollars in Toshiba Chips Unit: NHK"
"149",2017-04-14,"Apple Said to Consider Helping Toshiba With Chip Unit Investment"
"150",2017-04-14,"Apple Says Three More Suppliers to Use Solely Renewable Power
IPhone maker expands sustainability push into its supply chain"
"151",2017-04-14,"Toshiba Corp., down as much as 8 percent in the morning session, surged as afternoon trading in Tokyo got under
way. Japanese broadcaster NHK reported that Apple Inc. is considering investing at least several billion dollars in
Toshiba’s chip business -- a unit that’s been up for sale."
"152",2017-04-14,"Toshiba Pares Losses on Report of Apple Investing in Chips (1)"
"153",2017-04-14,"Toshiba Stock Pares Losses on Report of Apple Investing in Chips"
"154",2017-04-15,"Apple Gets DMV Approval to Test Self-Driving Cars in California"
"155",2017-04-15,"Apple Said to Near Road Tests of Self-Driving Car Software (3)"
"156",2017-04-18,"Apple Joins Netflix in Court Fight With EU Over German Film Tax"
"157",2017-04-18,"Apple Readies iPhone Overhaul for Smartphone’s 10th Anniversary
Apple is testing a revamped iPhone with an all-screen front, curved glass and a stainless steel frame alongside
upgrades to the current models."
"158",2017-04-19,"Britain's Bosses Will Soon Know What Brexit Really Means: Gadfly
If nothing else, Theresa May's election gambit should bring clarity."
"159",2017-04-19,"Tencent's WeChat Abolishes Tipping Feature on Apple iPhones"
"160",2017-04-19,"The Life of an Apple Supplier Is Getting Even Tougher"
"161",2017-04-20,"China Targets Live-Streaming Apps in Latest Apple Push (Correct)"
"162",2017-04-20,"China Targets Live-Streaming Apps in Latest Apple Encroachment"
"163",2017-04-21,"Apple Funds New Program to Turn Young Artists Into Pop Stars (1)"
"164",2017-04-21,"Brewing IPhone `Super Cycle' Spurs Apple Price-Target Increases"
"165",2017-04-22,"Apple Hires Google Satellite Executives for New Hardware Team
Apple said to have held talks about investing in Boeing satellite broadband project"
"166",2017-04-24,"New iPhone Screen Puts Blue Spotlight on Japanese Supplier (1)"
"167",2017-04-24,"New iPhone Screen Puts Spotlight on Japan Supplier (Correct)"
"168",2017-04-25,"Amazon Takes On Apple and Google as Digital Gatekeeper: Gadfly
A third big app store could benefit companies that rely on subscriptions."
"169",2017-04-25,"Apple Hires NASA AR Guru to Help Run Its Own Efforts
Jeff Norris led AR and VR projects at NASA's Jet Propulsion Lab"
"170",2017-04-26,"Why Apple Won't Be Able to Stop Digging Holes Yet: Adam Minter
The company can't get all the raw materials it needs from recycling."
"171",2017-04-27,"Apple’s TV and Movie Ambitions Start With Jimmy Iovine’s Rolodex
The company wants to turn its music app into a one-stop shop for pop culture."
"172",2017-04-27,"STMicro Delays Succession as Apple, Cars Boost Chip Demand (2)"
"173",2017-04-28,"Apple Cuts Off License Payments to Qualcomm as Fight Mounts (2)"
"174",2017-04-28,"Apple Cuts Off Licensing Payments to Qualcomm as Fight Escalates"
"175",2017-04-29,"Apple Halts License Payments to Qualcomm in `All-Out War' (3)"
"176",2017-04-29,"Hartford Cuts Goldman, JPMorgan Holdings; Adds Apple, Mars (1)"
"177",2017-05-01,"Apple, Facebook Poised to Show Further Signs of Tech Dominance"
"178",2017-05-02,"Apple Can’t Ignore Microsoft’s Slick, New Laptop
An exclusive look at the Surface Laptop, a $999 machine that boots up in seconds, weighs 2.76 pounds and runs a
sportier version of Windows."
"179",2017-05-02,"Apple Inc. is set to report fiscal second-quarter earnings after the close of trading on Tuesday and, as has become
customary, investors will be focused on iPhone sales. Analysts project 52 million units were sold in the quarter, a
marked drop from the record 78.3 million in the Christmas quarter, which is when sales of the smartphone usually
peak. The decline would slightly exceed the trends of recent years, which indicates growing expectations for the
latest release of the company’s flagship product this year, marking the 10th anniversary of the iPhone’s launch."
"180",2017-05-03,"Apple Slips After Surprise Drop in IPhone Sales Ahead of Upgrade"
"181",2017-05-03,"Apple Weighs on Nasdaq Futures as FOMC Awaited: Markets Wrap"
"182",2017-05-03,"Here's What Wall Street Is Saying About Apple's Earnings (1)"
"183",2017-05-03,"How to Write a Memorable Commencement Address: Kara Alaimo
Be personal. Be clear-sighted. And don’t be afraid to laugh at yourself."
"184",2017-05-04,"Apple Buys More Company Debt Than the World's Biggest Bond Funds"
"185",2017-05-04,"Apple Buys More Company Debt Than World's Biggest Bond Funds (1)"
"186",2017-05-04,"Ferrari Surges to Apple-Like Margins With $2.1 Million Supercars"
"187",2017-05-04,"Imagination Takes Fight to Apple, Puts Units Up for Sale (1)"
"188",2017-05-04,"Qualcomm Said to Seek U.S. Import Ban for IPhones"
"189",2017-05-04,"Trump's Repatriation Tax Is Useless to Apple: Leonid Bershidsky
The world outside the U.S. continues to subsidize the Silicon Valley giants."
"190",2017-05-05,"Apple Plans $7 Billion Bond Sale for Buybacks, Dividends (1)"
"191",2017-05-05,"Bosch Said to Win Some IPhone Orders in Blow to InvenSense (2)"
"192",2017-05-09,"Intel Follows Apple as Blue-Chip Company Bond Sales Heat Up"
"193",2017-05-09,"What's Reasonable to Qualcomm Isn't Good by Apple: Joe Nocera (Correct)
Their licensing and patent dispute ultimately affects the price of iPhones."
"194",2017-05-10,"Apple Becomes First U.S. Company to Top $800 Billion Value (1)"
"195",2017-05-10,"The rally in Apple Inc.’s shares that has accelerated in anticipation of an upgraded iPhone to be released later this
year has pushed the company’s market capitalization past $800 billion for the first time. The shares, which have
continued to gain even after Apple reported falling sales of its signature product last week, have jumped 33
percent this year, adding $185 billion in value. Drexel Hamilton this week raised its 12-month price target to a
Street high $202, implying a market value of more than $1 trillion."
"196",2017-05-11,"Apple Product Lineup Too Big for a Table But Adds Growth Anyway"
"197",2017-05-11,"Apple Supplier AAC Tumbles After Gotham Short-Selling Report (1)"
"198",2017-05-12,"Apple Invests $200 Million in Gorilla Glass-Maker Corning"
"199",2017-05-12,"Apple Products Are Too Many for a Table But Still Add Growth (1)"
"200",2017-05-15,"Tesla Drops After Morgan Stanley Sees Risk From Apple, Amazon"
"201",2017-05-16,"Funds Flock to Tech, Snap; Buffett Boosts Apple Bet: 13-F Wrap"
"202",2017-05-16,"Google to Push AI Smarts to IPhone, New Photo Books Service (1)
The Alphabet unit plans to expand its voice-based assistant beyond its own hardware at this week's I/O
conference"
"203",2017-05-17,"Apple Said to Plan Laptop Upgrades as Microsoft Enters Market"
"204",2017-05-17,"Apple Seeks $2.8 Billion in Euro Bonds to Pay Dividends, M&A (1)"
"205",2017-05-17,"Why Did a Chinese Peroxide Company Pay $1 Billion for a Talking Cat?
Inside the strange courtship between industrial behemoths and Western video game studios."
"206",2017-05-18,"Google Expands Voice-Based Assistant Service to Apple's IPhone"
"207",2017-05-18,"Qualcomm Sues Apple's Contract Manufacturers in Rising Fight (2)"
"208",2017-05-19,"EU Warns Ireland to Recoup Apple Tax Billions or Risk Court"
"209",2017-05-22,"Apple May Eclipse $1 Trillion in Market Cap in a Year, RBC Says"
"210",2017-05-23,"Apple Inc.’s market capitalization is poised to surpass the combined value of China’s five biggest banks by assets,
an event that happened once -- for a single day in September 2012. The iPhone maker, the world’s most-
profitable company, saw its market value rise above $800 billion this month and come within two percent of the
mainland quintet. That’s no easy feat, as the net incomes of Industrial and Commercial Bank of China Ltd., China
Construction Bank Corp., Agricultural Bank of China Ltd. and Bank of China Ltd. each ranked among the world’s
top six the past two years, while Bank of Communications Co. was in the top 40."
"211",2017-05-23,"CEO Who Sold Furniture to Steve Jobs Now Aims Ford at the Future"
"212",2017-05-23,"Nokia Gets Best of Apple With Patent Deal That Boosts Revenue"
"213",2017-05-27,"Apple Co-Founder Wozniak on the Next Big Moonshots (Video)"
"214",2017-05-27,"Apple Said to Plan Dedicated Chip to Power AI on Devices"
"215",2017-05-27,"Wozniak on Apple's Path Toward a $1T Market Cap (Video)
(Bloomberg) -- "
"216",2017-06-01,"Apple Said to Ready Siri Speaker in Bid to Rival Google, Amazon"
"217",2017-06-01,"Biggest Apple-Amazon-Google Bulls Are Funds That Once Hated Risk"
"218",2017-06-02,"Broadcom Gives Optimistic Forecasts on Phone, Network Demand (1)"
"219",2017-06-05,"Apple to Software Developers: We Have New Hardware for Your Apps"
"220",2017-06-06,"Anonymous Analytics Says Short-Seller Rival Got AAC Wrong (1)"
"221",2017-06-06,"Apple CEO Tim Cook Discusses HomePod Voice Controller (Video)"
"222",2017-06-06,"Apple Helped U.K. Investigate Terrorist Attacks, CEO Says (1)"
"223",2017-06-06,"Apple Makes Mac Computers Faster, Targets Professional Users"
"224",2017-06-06,"Apple Puts Siri Helper at Center of Growing Home-Tech Empire (1)"
"225",2017-06-06,"Apple Revamps IPhone Software, Adds Augmented Reality Features"
"226",2017-06-06,"Apple Unveils HomePod Speaker, Taking on Amazon and Google (1)"
"227",2017-06-06,"Apple’s Cook Says HomePod Will Blow People Away (Video)"
"228",2017-06-06,"Apple's Glittering Profit Margins Are Golden Handcuffs: Gadfly
Believe it or not, the company's financial success is holding it back."
"229",2017-06-06,"Fitbit Loses Ground to Apple and Xiaomi in Wearable-Device Race"
"230",2017-06-06,"India Said to Seek Job Pledge From Apple in Lieu of Tax Breaks"
"231",2017-06-07,"Apple CEO Says Repatriation Tax Should Be Mandatory Levy"
"232",2017-06-09,"Apple to Amazon Risks Are Higher Than You Think: Goldman Sachs"
"233",2017-06-09,"Apple's New IPhone Said Lacking Tech to Match Rivals' Data Speed"
"234",2017-06-10,"Apple CEO Cook Warns of Social Media Perils in University Speech"
"235",2017-06-12,"Apple’s New Strategy in Fastest-Growing Market: Vintage iPhones
Old-gen models like the 5S make up more than half of Apple’s shipments to the subcontinent."
"236",2017-06-12,"Trump's Offshore Tax Plan May Mean Extra Perk for Apple, Pfizer"
"237",2017-06-13,"Apple Issuing a Second Green Bond to Finance Clean Energy (2)"
"238",2017-06-13,"Cook Says Apple Is Focusing on Making an Autonomous Car System"
"239",2017-06-14,"Apple Needs More Candor When It Comes to Chinese Puzzle: Gadfly
The company is counting on an iPhone sales rebound, but the market may have changed."
"240",2017-06-14,"Cook's Words Show Tesla Must Brace for Apple Faceoff, Jonas Says"
"241",2017-06-14,"Making Leveraged Lending Great Again, and Apple in China: Gadfly
From Apple's China woes to funding a French cable onslaught, here are four charts that tell you what you need
to know about business today."
"242",2017-06-14,"Tesla May Need to Start Worrying About Apple's Car Ambitions"
"243",2017-06-15,"Apple Strengthens Video Expertise With Hiring of YouTube Alumnus"
"244",2017-06-15,"Apple's Cook Has a Reason for Breaking Silence on Cars: Gadfly
Loose lips help relationships."
"245",2017-06-15,"Tim Cook on Donald Trump, the HomePod, and the Legacy of Steve Jobs
The head of the most valuable company in the world talks to Bloomberg Businessweek Editor Megan Murphy."
"246",2017-06-16,"Apple Hires Sony's `Breaking Bad' Team as TV Push Gains Momentum"
"247",2017-06-19,"Spotify's Dreams of the Big Time Might Yet Be Shattered: Gadfly
Daniel Ek has a beautiful product, but he needs to make the numbers sing."
"248",2017-06-20,"Apple Alleges `Mounting Evidence' Against Qualcomm's Business"
"249",2017-06-20,"Apple Claims `Mounting Evidence' Against Qualcomm's Business (1)"
"250",2017-06-21,"Apple's Spat With WeChat Could Prove Calamitous: Adam Minter
It is taking a bigger gamble than it seems to realize."
"251",2017-06-22,"Apple Said to Seek Lower Rate in New Deals With Record Labels"
"252",2017-06-26,"Modi Meets Top U.S. CEOs Including Apple's Cook, Amazon's Bezos"
"253",2017-06-27,"Apple Working With Hertz to Manage Small Autonomous Fleet (1)"
"254",2017-06-27,"Pandora CEO Stepping Down as Apple, Spotify Rivalry Heats Up (2)"
"255",2017-06-27,"Waymo, Apple Deals Bolster Rental Firms for Ride-Sharing Age (1)"
"256",2017-06-28,"Steve Jobs’s Mock Turtleneck Gets a Second Life
The techno-savvy monk’s uniform lives on."
"257",2017-07-04,"Apple Said to Test 3-D Face Scanning to Unlock Next IPhone"
"258",2017-07-04,"Apple to Sell as Many as 85m New iPhones This Year: KGI's Kuo"
"259",2017-07-04,"Imagination Says Sale Talks Continuing After Losing Apple (1)"
"260",2017-07-04,"Worldpay May See Interest From Google, Apple, Amazon: Analysts"
"261",2017-07-05,"U.S. Said to Seek to Intervene in Apple EU Tax Case: Reuters"
"262",2017-07-06,"Apple to Use OLED Screens in iPhones Launching in 2H '18: Nikkei"
"263",2017-07-06,"SoundCloud Cuts 40 Percent of Staff in Bid to Remain Independent"
"264",2017-07-07,"Apple Fires Back at Supplier Imagination in Contract Dispute (1)"
"265",2017-07-07,"IPhone Sales `Steady' Ahead of IPhone 8 Release: Canaccord"
"266",2017-07-07,"Price Is No Object at Apple's New Headquarters: Joe Nocera
The spirit of Steve lives large in Cupertino."
"267",2017-07-07,"Qualcomm Seeks Limited Ban on IPhone Imports, Sues Apple (1)"
"268",2017-07-07,"Samsung Heads Into New iPhone Season Fueled by Record Earnings"
"269",2017-07-07,"SoundCloud Cuts 40% of Staff in Push for Profitability (1)"
"270",2017-07-07,"Taking a Bite Out of Apple & Co., the Indonesian Way: Gadfly
The nation's pay-to-play digital policy combines nationalism with pragmatism."
"271",2017-07-08,"Apple, Qualcomm Shares Shrug Off Latest Legal Salvo: Street Wrap"
"272",2017-07-10,"Apple Supplier Sales Are Fodder for Both Bulls and Bears: Gadfly
Foxconn and TSMC data give the first hint at the iPhone maker's latest quarter."
"273",2017-07-10,"Worldpay Is Unlikely to See a Counter Bid, Berenberg Says"
"274",2017-07-11,"Louis Vuitton Goes Upmarket in Smartwatch Fight Against Apple"
"275",2017-07-12,"Apple to Build First China Data Center to Comply With Law (1)"
"276",2017-07-13,"Apple's Billion Devices Give Augmented Reality Edge Over Google"
